No, Error Code, Error Message, File, LineNo, Other Error Message
1,8005,Variable name does not follow the rules: 1. First character should be upper case 2. Must contain lower case characters 3. No white space characters 4. Global variable name must start with a 'g',Edk2\MdePkg\Include\Library\StandaloneMmDriverEntryPoint.h,25,The variable name [_gMmRevision] does not follow the rules
2,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Library\StandaloneMmDriverEntryPoint\StandaloneMmDriverEntryPoint.c,25,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
3,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Library\StandaloneMmServicesTableLib\StandaloneMmServicesTableLib.c,22,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
4,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Include\Library\StandaloneMmDriverEntryPoint.h,27,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
5,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Include\Library\StandaloneMmDriverEntryPoint.h,57,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
6,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Include\Library\StandaloneMmDriverEntryPoint.h,83,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
7,9002,The function headers should follow Doxygen special documentation blocks in section 2.3.5,Edk2\MdePkg\Include\Library\StandaloneMmDriverEntryPoint.h,109,"in Comment, <@param SystemTable> does NOT consistent with parameter name MmSystemTable "
