"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ImageServicesTest","122","0","122"
"Total service\Protocol","122","0","122"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"BootServicesTest\ImageServicesTest","5.1.4.5.13","0","0","73D43440-619A-45D7-9D37-AAB7CA344F4D","PASS","BS.Exit - Exit() exits an EFI application in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7182:GetVariable() Name - Application3CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.14","0","0","BD9DAE62-AB61-40B0-8FBC-DDC839CC1862","PASS","BS.Exit - Exit() exits an EFI application in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7446:Status - Device Error, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.15","0","0","6059ACE5-B01C-4886-B9F3-D072612CFC44","PASS","BS.Exit - Exit() exits an EFI application in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7474:NotifyTimes - 1, Expected is 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.16","0","0","FAE6A2D2-0B34-48AF-970C-E684A5059B0D","PASS","BS.Exit - Exit() exits an EFI application in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7504:Status - Success, EntryCount - 0, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.17","0","0","7EF5B4F4-D07A-4610-91C9-4F2B6A2ED068","PASS","BS.Exit - Exit() exits an EFI application in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7527:Expected: Application 4's Error Code is EFI_DEVICE_ERROR, Received: Application 4's Error Code is EFI_DEVICE_ERROR,TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.18","0","0","4E3985C7-65AC-4CD2-89BA-5781ADD5D147","PASS","BS.Exit - Exit() exits an EFI application in its entry point with error code.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7564:GetVariable() Name - Application4CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.19","0","0","B35676E3-CD57-4DF0-BA3A-D3247744CA4F","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7778:Status - Success, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.20","0","0","66E31A54-B900-410F-BEA2-258E6B983EF8","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7809:Status - Success, NoHandles - 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.21","0","0","8A01C7FB-EE3C-4E7F-8BC9-FBE03D69AF3F","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7838:Status - Success, EntryCount - 1, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
"BootServicesTest\ImageServicesTest","5.1.4.5.22","0","0","EC2E0E5A-AC2E-4F31-9F39-C70AB1760E82","PASS","BS.Exit - Exit() exits an EFI boot services driver in its entry point.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:7874:GetVariable() Name - BootServicesDriver5CalledAfterExit, Status - Not Found, TPL - 4","0x00010001","1491FD0D-E7C0-460F-946D-2AF78567D1AA"
